org_id	org_name
tna-26	t-systems north america, inc.
todyl	todyl, inc.
treb-4	toronto real estate board
ts-1	teksavvy solutions inc.
tssl-16	total server solutions l.l.c.
tvonta	tv ontario
tws-10	toronto web services inc.
ultima-2	ultimate technographics inc.
vcha-3	vancouver coastal health
vinta-11	vintara
virgi-42	virgin technologies inc
vmedi	vmedia inc
voxtel-1	voxtel.com
vsi-15	virtual space international inc.
wbg-1	whitman benn group inc.
wel-1	wilson equipment, ltd.
wwwork	wwworks inc.
xenong-1	xenon genetics
xtcl	xicom technology canada limited
abl-287	aurora broadband
accubi	accubid systems
acomco	acom computer, inc.
agtltd	agt ltd
ami	applied microelectronics institute
angcl	alberta natural gas company limited
angztc	angzt-co
aptos-1	aptos canada inc.
art-2	alpa roof trusses inc.
asg-4	all systems go
asl-190	axia supernet ltd
at-9065	ardham technologies, inc.
ats-14	advanced training & services inc.
auc	augustana university college
barem-2	baremetal.com inc
barre-2	xplornet communications inc.
bcdpic	british columbia drug and poison info centre
bci-40	bell canada - iptv
bclc-1-z	british columbia lottery corp
bdc-5	barrett diversified corporation
bellid	bell (idc)
bellm-8	bell mobility, inc.
bma-1	bc medical association
bps-120	bellwyck packaging solutions
bragg	eastlink
bt-1266	babish telecom
bu-182	boyne usa, inc.
campne	campnet inc.
canad-86	datacity
cciraacplei	cira canadian internet registration authority autorit canadienne pour les enregistrements internet
cdc-3	canoggis databank corp.
cdedcet	centre d'expertise et de consultation en tourisme
cdsab	centre regional de services aux bibliotheques publiques (c.r.s.b.p.) de la monteregie inc
chc-207	corporacion hostingssi c.a
chkent	chk enterprises
cityof-45	city of peterborough
clc-4	cross link computers
cls-11	cls
cmd-2	canadian micro development
cognos-2	cognos inc.
commun-33	communications mednet inc.
conne-20	connections canada inc.
contr-81	controld inc.
costco	costco companies, inc.
cra-25	conestoga rovers and associates
crn	canadian research network
cw	columbia wireless inc
cyberc-40	cybercamps.com
cyberw-1	cyberwave technologies inc.
datac-46	datacate inc.
dbe-1	dryden board of education
ddsau	dds automated machinery design
del-1	dynacon enterprises limited
demark	demarkation inc
dems-4	direct energy - managed sharepoint 2007
dnsc-1	dedicated net services corp.
doc-14	broadridge customer communications canada, ulc
dolfin-1	dolfin developments
dptc	digital payment technologies corp.
dtka	dr. t.a. kasper and associates
educat-2	education innovations
eid-6	epi intenet direct
empres-1	empress software, inc.
epbe	east parry board of educatiion
ets-120	epk training solutions inc
ezprov-1	ezprovider inc.
factav	facta vera
fcc-3	farm credit corporation
fibre-1	fibrenoire inc.
firee2	fireeye, inc.
flash-34	flashtalking, inc.
fms-4	first marathon securities, inc.
fordq	federal office of regional development of quebec
frsh	freedman sharp and associates
gbeg	geraldton board of education - geraldton
gis-172	genesys it solutions
globa-438	globaltel
global-258	global connexxions inc.
gnccl-1	gosfield north communications co-operative limited
gnt	government of the northwest territories
goldl-3	gold line telemanagement,  inc.
gtaa-1	gtaa
gtl-210	gpi technologies llc
gwc-1	glegg water conditioning inc.
hd-3633	halton datacenter inc.
hdsb-4	hamilton-wentworth district school board
hh-63	hawk host inc.
hmhss	hicks morley hamilton stewart storie
hsa-20	henry sehein arcona
huc-3	hamilton community energy
iata	international air transport association
iboss-2	iboss
icac	ica canada on-line inc.
icl-75	infosat communications lp
idrcdm	institut de recherches cliniques de montreal
igfs-1-z	investors group financial services inc.
ih-47	innovite health
ihs-29	internet hosting servers
ils-1	icc learning services
imagei-3	image impression inc.
imper-61	imperium inc.
incc	atlantic.net, inc.
infern	inferno enterprises
innova-6	innovasys
ipp	internet payment process inc.
is-257	ifly seattle
ismcor	ism corporation
ist-59	innovative scaling technologies inc.
isu-19	internet security - us la
iwt-9	isohunt web technologies, inc.
jcl-31	tough country communications ltd.
jec-3	journey's end corporation
jeolus	jeol usa, inc
jgh-z	sir mortimer b. davis - jewish general hospital
ka-354	kit and ace
kagll	keaton alexander guger lair
kitche-3	kitchener-wilmot hydro
kmtsi	kmts internet
kulian	kulian consultants
laval-2	lavalife corp.
lci-3	learn-ed consulting (international)
lcl-140	logix
lifet-301	lifetouch inc
luniqu	l'unique
marque-1	onscope group inc.
mcans	metro community access network society
mccsys	mcc systems
mcg-73	mid-range computer group inc.
mchsol	mch solutions
mda	macdonald dettwiler and associates
merbr	merbridge networks
mfl-1	mccain foods ltd
mhc-3	mclean hunter communications
mi-1460	microcom informatique, inc.
mics	minister of industry, commerce, sciences and
mllc	manitoba liquor and lotteries corporation
mpip	manitoba public insurance corporation
msl-5	microstar software limited
msrg	masergy communications, inc.
navig-5	navigata communications
nb-368	northern backup incorporated
nbphc-z	new brunswick power holding corporation
ncc-11	national capital commission
newlin	newlink telecommunications
nhm-8	north hill mazda
nidusc	nidus computers
noca	northern cable holdings limited
novic-5	novicom 2000 inc.
nsa-53	network security associates, inc.
nserc-2	natural sciences & engineering research council
nt-65	nexeon technologies, inc.
nutech-4	nutech digital
nwpl	new westminster public library
nyh	north york hydro
ocl-2	olivetti canada limited
openv	open vision, inc.
orill-1	orillia pronet, inc.
packe-25	packetexchange, inc
pacw	packetworks inc.
padvac	pathix asp
parc	pacific aids resource centre
pbi	prairie bible institute
pcgbas	pcgbase inc.
peer1i	peer1 internet
pfg-33	ppi
phcu	board of health for the peterborough county-city health unit
pis-23	poke internet services
portof	port of montreal
psc-8	public service commision
ptciee1	primus telecommunications canada inc. -eastern-037- eds 1
ptcipw1	primus telecommunications canada inc. -pacific-021- wnp 1
qm-5	quickplay media inc.
rc	reliance communications, inc.
resint	res international inc.
rjl-8	raymond james
rmdeve	r.m. developers
rom	royal ontario museum
rrcaast	red river college of applied arts, science and technology
russel-1	russel & dumoulin
rwbr	risq web-hosting bloc
saskte-1	sasktel mobility
satel-6	satelcom internet inc.
sbgh	saint boniface general hospital
scaat-1	sault college of applied arts and technology
scc-22	streamwave communications corp.
schlu-3	schlumberger limited
scribe	unus, inc.
scsl-45	shaw cable systems ltd
sdhu-1	sudbury & district health unit
sdi-70	silicon desert international, inc.
sdn3	school district no. 39
shb	saskatoon health board
shopi-1	shopify, inc.
siduss	sidus software inc.
siisl-1	south island internet services ltd.
sis-42	spectrum investment systems inc.
sixth	sixth gear direct
snic	sonic.net, llc
sns-3	supro network software, inc.
spect-111	netspectrum wireless internet solutions
spence	spencer stuart
sscl-30	sniper satellite & comunications ltd
ssl-76	syban systems ltd.
sss-183	shaw satellite services, inc.
synchr-3	synchronics limited
synpha	synphar labs inc.
systro-2	systronix enterprises inc.
tamec	tamec inc.
tbec	telebec
tc-362	tata communications
teklog	teklogic inc
tgdhn	tnd graphics dba horizon net
thecom-2	the computer shoppe inc.
tpn	terago ptp networks inc.
tsg-17	trapeze software group
ubc-3	university of british columbia
ucc-1	united church of canada
unbc	the university of northern british columbia
unicom-4	unicom online
unioni	union inc
uol	uniserve on line
uptim-1	uptimearchive, inc.
utl	unibase telecom ltd.
vdk	ville de kirkland
viane-4	vianet inc.
vmg-11	vintacom media group inc.
vmt-1	valiant machine and tool
vnl-57	valo networks ltd.
vpl	vancouver public library
vs-59	varicent software inc.
wcl-3	westlink communications ltd.
wid-7	webair internet development company, inc
wiso	wisol inc.
wlar	whiteshell laboratories, aecl research
xenonl-z	xe.com inc.
xplor-3	xplorenet
youro	your.org, inc.
risq-z	reseau d'informations scientifiques du quebec (risq inc.)
rmw-2	region of waterloo
rsi-28	rep solution interactive inc.
rsmri-3	rsm richter management ltd.
sapat	sapatana
sca-4	southshore community access
scc-25	stone consolidated canada
scnm-2	stentor canadian network mgt.
scs-6	simtech consulting services
scu-143	synamedia
serve-33	serverbeach
sht	saskatchewan highways and transportation
sieal	sony interactive entertainment america llc
sl-669	system lifeline inc.
softar	softarc inc.
sp-243	sae power company
spect-29	spectrum
sprn-z	sprint
srtele	sr telecom inc
ss-34	skycomp solutions inc.
st-635	salmon terminals inc
starga-1	stargarden corp
sunset	sunset communications
surfc	surfcontrol, inc.
svh-1	sanford health
swbc	science world
swp	viterra, inc.
sybase	sybase, inc.
tace	telus communications inc.
tamils	tamilsoft corporation
tc-94	telehop communications inc.
tcr	texaco canada resources
tds-7	thompson dorfman sweatman
tdsb-1	toronto district school board
terran-1	terran communications
tfs-11	tritech financial systems inc.
theglo	the globe and mail
timber	timberjack, inc.
torine	torinet systems, inc.
traff-6	traffix inc.
trave-94	travelbrands inc
trlab	tr labs
trnd	cybertrends inc.
tssl-34	total server solutions llc
twitt	twitter inc.
ugomed	ugomedia.com interactive, inc.
unit-1	unit4
united-5	united breeders, inc.
univer-183-z	university of victoria
univer-289	university of windsor
univer-369	universal digitech
usi-1	utex scientific instruments inc.
v3med	v3 mediaworks
vhl-59	vultr holdings, llc
voipl	voip logic
vrevl	vrev ltd.
walsha	walsh automation inc.
wcl-16	western canada lotteries
webnx	webnx, inc.
woodyn	woodynet
ws-46	websan solutions inc
xc-87	airfib
yiecl-1	yegix internet exchange community ltd.
yourl-2	yourlink inc.
zercom	zercom technologies inc.
170260	170260 canada inc.
ac-5078	aldera communications
aes-120	ascent energy services inc.
akrans	akran systems
al-1519	crossfire information systems
al-8	whipcord ltd.
alphac	alphacom
alters	altersys inc.
alvina	alvin austin co.
antelo	antel optronics inc.
asdc	amdahl software development centre
au-187	automattoque
bankof-2	bank of america, national association
batali-1	bata limited
bdb	bell direct/tele boutique
bdio	bell dsl internet ontario
bellvp	bell (vpne)
bf-208	bullitt foundation
binnj	binnj inc.
bns-113	bank of nova scotia
bpc-76	bluewater power corporation
bpl-3	barrington petroleum ltd.
brwb	blue ridge websoft, llc
bt-430	brama telecom
btnet	bt networks
btvc	bluewater tv cable, limited
buhler	buhler industries inc.
calexi-1	calexis advertising
cantre-1	cantrex group inc.
capri	capris group
cb-260	city of burnaby
cbey	cbeyond communications, llc
ccl-227	cohere communications, ltd
ccp-4	central canada potash, inc
ccscu-1	coast capital savings credit union
ccu-1	cambrian credit union limited
cgccl	canadian greeting card corp. ltd.
ch-1191	cypherpunk holdings inc.
chedok	chedoke-mcmaster hospitals
clear-129	clearwave broadband networks inc.
clear-98	clearcable networks
cm-124	cleveland metroparks
cm-142	cnsx
cme-95	capital music east
cndce	comm. nord-americaine de coop. environmentale
cnut	central utah telephone, inc.
coffee	coffeehaus, inc.
commis	commission de la sante et de la securitie au travail
commun-11	communications inter-acces
conbri	conbrio teamwork, inc.
concor-6	concordia university of edmonton
cpbcl	central park business centre ltd.
crs-3	cashhandler retail systems, inc.
csc-434	commission scolaire des chenes
csdc-4	commission scolaire de coaticook
csds-1	commission scolaires des sommets
ctcf-1	diffusion fermont
cybers-37	cyberstore systems inc.
das-136	dsv air & sea inc.
datto	datto, inc
digis-4	digisync
distr-2	district of squamish
dpsl-1	dynamis productivity software ltd.
dsc-8	dkw systems corporation
dsl-43	dm&t services ltd
dtl-118	dr technologies ltd
durand	durand and associates
ecc-32	emi communications corp.
echoco	echo communications
ecs-3	eri computer systems
edtc	edmonton telephones corporation
electr-8	electrobyte technologies
entrev	entrevision inc.
esl-62	evsl
et-76	execulink telecom inc
etfo-1	elementary teachers federation of ontario
flemin	sir sandford fleming college of applied arts and technology
flt	fast lane technologies
fredde-1	fred deely
fronti-30	frontier computer
fsl-4	hampson-russell software services ltd.
gozoo	gozoom.ca inc.
gpei	government of prince edward island
gsl-3	gm supergroup/maclaren lintas
gssl-8	global smb solutions ltd.
gtlp	goco technology limited partnership
gva-1	galloway, venus and associates
hacl	hustad associates consulting ltd.
hbe-1	the halton board of education
hch	hamilton civic hospitals
hhtech	h&h technologies inc.
hpe-15	hewlett packard enterprise company
hsl-2	herzig somerville, ltd.
ht-344	hd telecom inc.
hurc	hurricane electric llc
hydrom	hydromantis inc.
hypix	hypixel, inc
ic-1126	ixica
icl-14	ibm canada ltd.
imaxco	imax corporation
inm	isotro network management inc.
intel-222	intellinet
ipcom-1	ip communications
isbc	internet service bureau of canada
isc-7	iset software corp.
ismb	information systems management, b.c.
ismc-1	information systems management corporation
ivct	i voice comm telnetwork inc
iwc-3	the internet world cafe
jannas	janna systems inc.
joel	computer data products
jsic-1	jade simulations international corporation
kc-81	kiewit corporation
kcl-3	kalium canada, ltd.
kenot	kenotronix inc.
keopsi	keops technologies inc.
kit-3	kerberos information technology, inc.
korsai	korsa international
la-575	lightica
lc-1186	lactalis canada inc.
lcl-4	lacure corporate and leisure, inc.
lm-217	lionsbay media inc.
logici	logiciels object inc
lpr-7	linkbynet
marit-6	maritime college of forest technology
marsha-8	marshalls inc.
mcics	mci communications services, inc. d/b/a verizon business
mctrf-1	manitoba cancer treatment and research facility
mdfs	government of manitoba
meteom	meteomedia
mipp	mipps inc.
mli-3	the manufacturers life insurance company
mrcim	mcgill research center for intelligent machines
mrs-2	moore resource systems
msil-5	msi systems integration ltd.
msimar-1	msi marketing inc.
msscon	mss consulting
mulvey	mulvey agency
mvsus	mvs usa
nccim-1	new creation consulting & information management inc.
nccsc	north cariboo community skills centre
ncl-68	nome consulting ltd
ncste	ncs technologies
nml-2	newnes machine ltd.
nndsb-1	near north district school board
novala	novalab ltd.
nrncom	nrn communications
ntpv	network technology professionals of vancouver, inc.
object-7	objectime limited
occu-5	oanda (canada) corporation ulc
od-8	ovh (dal)
ol-348	rural net connect
ontar-51	2217869 ontario inc.
osite	ositech communications inc.
paxser	pax services
pcscav	pc scavenger
phc-81	prestige hospitality corp
pivot-5	pivotal payments
polari	polarix, inc.
ports-9	ports america, inc.
ppi-4	productivity point international
ppm-2	pc party of manitoba
pr-523	packet rabbit inc
pronet	pronet communications inc.
protek-1	protek computers inc.
ptpb	point to point broadband inc.
qlsyst	ql systems, inc.
rdsyst	rd systems
redlan	redland quarries inc.
rt-60	rbbs telecom inc.
rvh	royal victoria regional health centre
sandri	sandrix technologies inc.
sbe-2	saskatoon board of education
sccl-2	surf city communications ltd.
scwl-7	schneider's computing & websites ltd.
sd4-1	school district #42
sd6	school district 69
sd6-1	school district 69
sel-5	stardust enterprises ltd
softl	softlayer technologies inc.
spas-2	st. paul the apostle school
sph-32	sheraton parkway hotels
aat-2	apex advanced technologies, inc.
ac-2678	apsis communications inc
acadia	acadia university
acc-372	afilias canada, corp.
acg-115	aptient consulting group inc.
adpes	automatic data processing, inc.
ag-638	arrow group inc.
aiss-2	atos it solutions and services inc.
al-662	accomplishmail llc
ant-5	aurora network technologies incorporated
aptd	service alberta
asf-3	advanced server farm
asg-10	automated systems group
aupelf-1-z	auf
ballar	ballard consulting
banl-1	beyond air networks limited
basf-2	bgs advanced server farm
baycom	baycom inc.
bcrc	british columbia research corp.
bdia	bell dsl internet - atlantic
bht	bell helicopter textron
bie	blizz informatique enr.
bihl	b.c. info health ltd.
bis-7	bina information services inc.
bns-1-z	bank of nova scotia
brs-3	bc rehab society
bssm	bell sygma systems management inc
btc-107	bh telecom corp.
campan-z	campana systems inc.
canad-85	kusat
canad-87	navigata communications limited
canad-89	lulu software
canade	canadelle incorporated
canadi-3	canadian-moroccan assn.
carain	cara informatique
catie	canadian aids treatment information exchange
cbe	calgary board of education
cc-475	cologix canada, inc.
cccsc	cariboo chilcotin community skills centre
cds-10	cegep de saint-jerome
cgbc	centra gas british columbia inc.
chm	centre hospitalier mont-laurier
cityof-75	city of london
cmdt	college moderne de trois-rivieres
colleg-4	college edouard-montpetit
compug-1	compugard services
coolwa-1	coolwater
corela-1	corelan communications, inc.
cpane	cpanel, llc.
cpcsl	can pay computer software ltd.
cppib-2	canada pension plan investment board
csdcf	conseil scolaire de district catholique franco-nord
ctl-9	cybcom telecommunication limitee
cucbro	cuc broadcasting
cwc	canada wire and cable
czs	calgary zoological society
dcaas	durham college of applied arts & science
ddlspd	direction de la sante publique de
dstcor	dst/corfax systems
dtcs	double t computer services
duc-2	ducks unlimited canada
durh	durham net inc.
dynam-75	dynamic asp inc.
ecolep-1	ecole pointe-des-chenes
embere	ember ec3 inc
enhanc	enhance systems inc.
etc-11	eicon technology corp.
flexi-7	flexity solutions inc
formu-4	formula 1
fseti	fset inc
fuller-11	fullerene productions
gd-91	vmpanel
glbhc	great lakes bay health centers
groupe-6	groupe educalivres inc.
gst-13	greater sudbury telecommunications inc.
gtomni	gt omnicom inc.
gvrd-1	greater vancouver regional district
gwl	george weston ltd
hac	holstein assn. of canada
hamilt-3	hamilton-wentworth freenet
hch-43	havas canada holdings inc.
hcu-9	hush communications usa
hisbh-4	hampton inn and suites by hilton
hl-277	hll llc
hmdcl	hibernia mgt. and development co., ltd.
hollow-1	holloway studios
hosth-2	hosthatch, llc
hp	hewlett-packard company
hr-233	hammerhead resources inc.
hsppl	howe sound pulp and paper ltd.
htlh-23	h4y technologies llc (host4yourself.com)
ibc-66	insurance bureau of canada
ibm-1-z	ibm
icod	international centre for ocean development
ieenet	iee network
ii-24	idigital internet inc.
iit-7	island information technology
imagea	imageaide inc.
inform-44	informatique osg inc.
inter-83	interserver, inc
intern-73	internet-bbsi inc.
inver-1	invera inc.
isc-10	information superhighway corporation
isgtec	isg technologies inc.
island-1	island computers
it-80	iaak technologies inc.
ivalu	ivalua inc.
izaak	izaak walton killam health centre
jmsl	junior mine services ltd.
jsal	j.d. scown and associates ltd.
kosmos	kosmo solutions
launch-2	launchpad software
lc-202	langara college
lcc-11	light computer centre
lcs-141	line-tap computer service
le-108	lilani enterprises inc.
lgcl	l. & g. consultants ltd.
lionr	lion resources, inc.
lomdl	log on multimedia designs, ltd.
malett	malet tech.
mandac	m and a communications
mcs-19	magtech computer services inc.
mdgs	government of manitoba
mdhch	latisys-chicago, llc
mentor-2	mentor networks, inc.
microb	micro-boutique inc.
midwe-12	midwest surveys inc
misl	mainland information systems ltd.
mn-395	mage networks inc.
most	magic online services toronto inc.
mssl-17	microsemi storage solutions ltd
mtpf	toronto police service
nbc-2	the national ballet of canada
ncdsb	niagara catholic district school board
ncie	national capital internet exchange
ncp-58-z	northern computer products inc
netaxi	netaxis inc.
netxs	netx systems inc.
nhs-31	netelligent hosting services inc.
nic-64	north island college
npl-1	net propulsion labs
npls-1	northern petrosearch land services
ns-197	3268120 nova scotia company
ocnl	operations & compliance network llc
ontar-62	globalvu
oracle-4	oracle corporation
osa-1	optimization systems associates inc.
ouac-1	ontario universities application centre
ovhin-2	ovh-internal
oyp	o & y properties inc.
pacifi-12	pacific academy
pc-2167	pelmorex corp
pcip-z	parsons corporation
pdsb	postal and distribution services branch,
pers	persona communications inc.
pht-10	peer 1 hosting toronto
pmib	paisley manor insurance brokers
pokein	poke internet inc
psi	psinet, inc.
psi-1	psinet, inc.
puc	peterborough utilities commission
qctc	quick commerce technologies corporation
qocl	quaker oats of canada, ltd.
quebe-76	tango nordik telecom
rcc-183	rogers communications canada inc.
rdpsd1	red deer public school district #104
rogidi	rogidi inc.
rpgl-21	rexall pharmacy group ltd.
rpn	reseau postotal network inc.
rq	agence revenu quebec
rtm	rolling thunder marketing
ryers-1	ryerson university
salon-9	salonfunrairedeme
scotia-2	scotia
sette	sette
sey	sobeco ernst & young inc.
sharp-24	sharp rock technologies ltd.
shin	saskatchewan health information network
sixnet	@six.net
sl-1146	sprious llc
softqu	softquad inc.
speed-80	speedfi inc.
speedw-2	fresche solutions inc.
aaasa	american association for the advancement of science (aaas)
aasc	adwall advertising systems corporation
abc-617	allstream business ca
acl-31	arctic co-op limited
acml	angus consulting management ltd.
acu-67	affinity credit union 2013
adl-7	agt directory ltd.
adsc-5	amazon data services canada
ag-1035	alera group
airall	air alliance inc.
allho	allhostshop.com
apnic	asia pacific network information centre
argust	argus technologies inc.
ascl-2	advanced scientific computing ltd
atob	autobahn access corporation
attw-z	at&t services, inc.
automa-5	auto mart inc.
basez-1	basez
bceeme-10	bce emergis
bcins	bell canada - ids network services
bdk	bibliotheque de kirkland
bdl-22	broadband dynamics, llc
bishop	bishop's university
bisp-1	blink internet service provider inc
blazet-1	blaze telecommunications
blc-171	bc libraries cooperative
bm-1364	bell mobility, inc.
bpt-1	bit pacific technologies incorporated
btsaps	st. albert public schools
cactus-1	cactus communications inc.
canad-97	7954689 canada inc
cb-1477	core broadband inc
cc-3056	cable cable inc
ccc-40	canaccord capital corporation
ccl-243	crystal computers ltd
ccl-370	cascadia capital llc
ccl-578	corp. of the city of london
cdc-12	cegep de chicoutimi
cds-254	cogecodata
cegepb-z	cegep beauce-appalaches
cg-342	ci2 group inc
cgiinc	cgi inc.
cgm	centra gas manitoba, inc.
chl-161	the core hosting llc
chl-9	coast hotels limited
cia-3	chipper internet access
ciaat	college of the north atlantic
cial-1	client instant access, llc
ciec-1	communicopia internet & envvironmental communications, inc.
cisl	canweb internet services ltd.
cityof-72	city of kitchener
cjcr	cegep joliette-de-lanaudiere, campus repentigny
cloud-98	cloud&more inc
cmimcm	connect
col-20	cara operations limited
colleg-23	college lionel-groulx
compuc-1	compucom
comput-29	computerlink online inc.
corene	core-net inc.
cranb	cranberry resort
cresce	crescent school
css-1	chubb security systems
css-374	cooperative de solidarite du suroit-csur
cstin	cst industries, inc.
ctisccb	citenet telecom inc. - subnetted class c block
cuds	universite de moncton - campus de shippagan
cyis	cygnet internet services inc
dcl-577	delta centric llc
ddlt	delta dentre for learning technologies
delcan	delcan corporation
digit-42	digitalproviders.net
dmhs-2	don mills high school
dta-1	dta
dwis-2	ddb worldwide - it services
eisc-1	execulink internet services corp.
emban-1	embanet corporation
etolli	etoll, inc.
fansha	fanshawe college
fansha-1	fanshawe college
fatspi	fatspider publishing
fsl-112	fgl sports ltd.
gapnet	gapnet technologies
globa-245	globalive wireless management corp.
gossa-1	gossamer threads inc.
grandm	grandmaster technonogy
grayma	gray matter
havent	haven technologies
hkup	hookup communications
husky-1	husky energy inc.
hvil	harvest vintage imports ltd.
ia-224	ipsos america inc
ices	inst. for clinical and evaluative sciences
inform-48	informatika
inter-1217-z	interior health authority
intern-173	internet lightspeed
interv-1	intervider comm. inc.
ios-14	infobahn online services
itwi	intown internet
jas	jesco automated services
jgc-4	j2 cloud services, llc
ji-85	jesta i.s. inc.
kcc-1	university college of the north
khsc-z	kingston health sciences centre
lfl-21-z	leon's furniture ltd.
lightr-1	lightrealm, inc.
lintas	lintas canada
lis-8	liberty integration software inc
lrlc	les reseaux lan cite inc.
lslchs	louis st laurent catholic high school
lsz	les systemes zenon inc.
marsul	marsulex inc.
mc-1760	m/a com
mekte	mektel inc
merl	merlin
messac	messa computing inc.
micros-14	microset systems, inc.
mit-3	marine information technology
mse-215	ms solutions
msh-11	mount sinai hospital
mt-43	mainland telecom inc.
nc-717	ncds canada
nete	netenterprise inc.
netin-11	net3 inc.
nettr	nettrac communications inc.
netwo-59	network solutions, llc
nflo	inflow inc.
nli-23	no limits internet
nms-127	ncs managed services inc
north-304	northern computer solutions ltd.
ocdot	metro loop
ocri	ocri
ocs-17	open communications system
oicr	ontario institute for cancer research
oldsco	olds college
ontar-55	gtaisp
ontari-3	ontario hydro
ontc	ontario northland transportation commission
openso-1	open solutions inc.
osc-3	ontario science centre
ot-84	allo telecom
ovw	oceana virtual worlds
pan	prince albert network
param-19	paramount pallet
pcp-1	perryscope concert productions
pdci-1	perth district collegiate institute
pdsl-1	prior data sciences ltd
peinet-1	peinet inc
peopl-76	peoplefluent
pharm-83	pharmascience inc.
pjfl	petit jean fiber
plati-14	platinum synergy
pokene	poke net
pphm	patterson palmer hunt murphy
primet-3	primetech electronics inc.
prior-7	priority colo inc
prisco	prisco tech inc.
psc-19-z	precise systems corporation
qnc	quadrant newmedia corp.
questz	questzones.net inc
rastan	rasta networks
rcolem	rcoleman
res-25	renfrew educational services
riq-1	reseau internet quebec inc
rnl-38	router12 networks llc
rsmedi-1	r-s media
rtg-1	redmond technology group inc.
sandbo	sandbox communications
sapien-1	sapience inc.
sc-1430	solium
scnm-1	stentor canadian network management
sdm-1	services documentaires multimedia
sdn6s	school district no. 62 (sooke)
serve-32	serverbeach
shaw-z	shaw communications inc.
shawc-2	shaw communications inc.
sidl	services internet de l'estuaire, inc.
siecor-1	siecor
siscai-1	sisca informatique inc.
smsl-1	snowy mountain software ltd
source-2	sources
speedl	speedline canada
spgc	spectrum global communications inc.
strate-57	strategicprofits inc.
stratf	stratford festival
switc-3	switchworks technologies inc.
targo	targo communications inc.
abc-7	atlantic business college
abtl-1	adaptive business tech ltd
aclt-2	rackco.com, tor
actlab	act laboratory
adc-26	a.d data consulting
agrico-1	agricore united
al-535	amazon.com.azdc, llc.
alfala	alfalab research inc.
alldom	alldomains.com
ambles	ambleside consulting inc
appli-18	applied systems, inc
art-31	automated rig technologies
as-3017	actrack solutions inc.
atcqa	caa quebec
avente	av entertainments.com
avenza	avenza software inc.
balanc-1	balan corporation
bct-2	british columbia television
bdlvdk	bibliotheque de la ville de kirkland
bel-65	baytex energy ltd.
bella-24	bell aliant / core-internetworking
bic-1	bombardier inc. canadair
blnl-6	big land networks
bms-28	bamfield marine station
brytec	bry-tech systems inc.
bsil	bonded services international limited
bss-9	burnt sand solutions inc.
bstl-6	bruce street technologies limited
bvgc-2	boone valley golf club
cabcc	canadian association of blue cross plans
canad-71	dataweb solutions
canadi	canadian marconi company
cbbc-3	columbia basin broadband corporation
ccl-10	computer concepts ltd.
cdc-13	cosan development corp.
cdl-3	cegep de levis-lauzon
cdr-1	cegep de rimouski
cds-12	cegep de sept-iles
cdspdq	centre de sante publique de quebec
cenov	cenovus energy inc
centr-280	centrilogiccanada
cica-1	canadian institute of chartered accountants
clover-1	cloverlink systems, inc
commi-7	commission scolaire de la cote-du-sud
compet-4	competitor communications inc
concor-12	concord technologies
connec-9	connectivity plus
cprsc	canadian pacific railway company
cuc-z	burman university
cvccc	clear view communications canada corp.
dadepa	imperialdade
dataa-3	data anywhere.net
datafi	datafix technologies
dcc-6	databyte consulting corp.
dictso	data i/o corporation, toronto syndesis operation
ds-180	dimensional strategies inc.
dundee-1	dundee securities co.
durab-1	durabledns inc
dzt	disturbed zero technology
ecobe	ecobee, inc
edc-83	estruxture data centers inc.
ehl-71	lee edward enterprises
ehtel	eh!tel networks inc.
eis-7	enterprise information systems, inc.
enviro-12	environment canada
fa-426	fibre argenteuil
fcl-1	forintek canada ltd.
fi-31	fdm4 international inc.
fibre-5	fibrestream, inc.
fleet-37	fleettel inc.
forkn	fork networking, llc
forsal	forsaleforrent
futurn	futurnet fm-seoul
gardew	gardewine north
geofit	geofit inc.
geovis	geovision corporation
ghd-7	lunavi, inc.
ghlx	global hyperlinx inc
greyca	grey canada
groupe-1	groupe quebecor inc.
hayat	hayatsat
hc-954	halo colocation llc
hi	h2h interactif inc
hi-49	hawkesbury igs
hit-7	huron internet technologies inc.
hscf	the hospital for sick children foundation
ia-1084	ipsos america inc
ib-337	imaging bay, inc.
ifs-3	iqon financial services inc.
ifsl-2	industrial forrestry service ltd.
ign-1	infinite global networking
iisi-1	isis (internet services and information
ik-3	igs kw inc.
ilm-15	intercap lending murray
inter-400	intertainment cafe
inter-934	interim healthcare, inc
interc	intercom
intern-30	internet jrv
iol	imperial oil limited
ird	international road dynamics, inc.
isqso-3	isq solutions inc.
ist-5	internet software technologies
it	it canada
itresr	itres research
iwbc	iwbc isp services inc.
jlnf	jysk linen n furniture inc
jmgcom	jmg compushoppe
jrml	james river marathon ltd.
kpu-1	kwantlen polytechnic university
ktrans	k-transitions
lakes-9	lakeside digital
learni	learnix ltd.
leisur	leisure electronics
lfpp	the london free press printing
lhi-1	liverton hotels international, inc.
librar	library of parliment
lli-1	login: logiciel interactif
lsuc	the law society of upper canada
lvl-3	lognet
mc-707	start communications
mcsl-12	mbc computer solutions ltd.
mdaes	ministere des approvisionnements et services
mee	ministry of environment and energy
messa-2	messaging architects
minac	minacs inc
mippsi-3	mipps inc.
mit-58	mdf commerce inc.
modate	modatech systems, inc.
mr-437	munich re
multib	start communications
mymdb	minera y metalurgica del boleo
nait	northern alberta institute of technology
ndcc-4	neutral data centers corp.
